id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
53738636,Vista espetacular e indevassável do pão de açúcar,435235255,Jose Carlos Luciano Santos,,Botafogo,-2.294.179,-4.317.966,Entire home/apt,286,3,14,2022-11-20,1.15,1,245
45515234,Rio Stay Residence - Flat lindo aconchegante,368432908,Clemilda,,Camorim,-2.297.609,-434.134,Entire home/apt,300,2,2,2022-08-23,0.18,2,357
757286560392391556,Lindo Flat Hotel Mediterraneo - Barra Da Tijuca,487033358,Ruda,,Barra da Tijuca,-2.300.552,-4.334.057,Entire home/apt,214,2,2,2022-12-11,2,2,309
654296,Double Suite,2007018,Ana Lucia,,Barra da Tijuca,-2.300.903,-4.334.073,Private room,600,2,7,2022-09-11,0.06,4,298
51468893,LEBLON ACEROLA NOVO,11782291,Lucas,,Leblon,-229.843,-4.323.084,Entire home/apt,800,2,1,2022-11-15,0.67,12,139
696477676199533575,"Apartamento Recreio, Rio de Janeiro",475682634,Tatiana,,Recreio dos Bandeirantes,-2.301.829,-4.347.966,Entire home/apt,386,2,3,2022-11-14,0.81,1,75
50995160,"Praia de Botafogo , confortável e silencioso",172482654,Evilene,,Botafogo,-2.294.601,-4.318.257,Entire home/apt,186,15,8,2022-12-11,0.79,13,31
711512473559264901,Apartamento 5min da Praia de Ipanema,478696478,Priscila,,Ipanema,-2.298.548,-4.320.319,Entire home/apt,900,5,0,,,1,358
791173350917580232,anyLife Smart Centro RJ 1006A,325956962,AnyLife,,Centro,-2.290.853.918.967.390,-4.317.847.684.721.710,Entire home/apt,502,1,0,,,18,361
700158749136900412,Quarto no Rosa Maior,16064460,Rômulo,,Barra da Tijuca,-2.300.422,-4.335.175,Private room,446,4,1,2022-11-14,0.65,18,358
41913121,APARTAMENTO EM FRENTE A PRAIA POSTO 9 DO RECREIO,331406965,Ana Lucia Da,,Recreio dos Bandeirantes,-2.302.221,-4.344.952,Entire home/apt,914,1,39,2022-09-11,1.13,1,158
2323295,COPACABANA BEACH,11782291,Lucas,,Copacabana,-229.664,-431.761,Entire home/apt,574,4,61,2022-12-12,0.59,12,143
689003052336222057,Rock in Rio,103144343,Susana,,Camorim,-2.297.852,-4.341.501,Entire home/apt,1000,1,3,2022-09-12,0.76,1,365
53766715,Loft Totalmente Reformado no Leblon,146347544,Frédéric,,Leblon,-2.298.392,-4.322.483,Entire home/apt,1450,7,1,2022-01-08,0.08,18,34
14100945,"Apto Mobiliado Olimpíadas, Cidade Jardim, Barra",29896922,Raquel,,Jacarepaguá,-2.296.666,-4.338.424,Entire home/apt,615,30,0,,,1,88
787249861884418232,Apartamento centro do Rio,349544628,Ramon,,Centro,-22.907.612.943.367.500,-4.318.224.985.823.330,Entire home/apt,377,2,0,,,1,337
695129119430183573,Anúncio Fora do Ar por tempo Indeterminado,443287440,Henrique,,Jacarepaguá,-2.297.168,-4.339.471,Entire home/apt,1567,55,0,,,1,329
21907923,Cobertura Jardim Botânico,55673192,Marcelo,,Jardim Botânico,-2.296.061,-4.320.727,Entire home/apt,1214,2,21,2022-11-13,0.35,1,161
707226389878211654,"Apartamento novo, próximo a praia e ao metro.",77410017,Felippe,,Leblon,-2.298.415,-4.322.253,Entire home/apt,2000,3,1,2022-09-10,0.27,1,358
749179683904499172,Apto João Lira Leblon com Garagem e Piscina,459544,Cristina,,Leblon,-2.298.514,-4.322.129,Entire home/apt,2050,5,0,,,52,22
781885436486558096,Apto Aterro do Flamengo,82037659,Mariana,,Flamengo,-22.928.199,-431.753.766,Entire home/apt,200,1,0,,,1,42
